edge_id,baseline_case_id,repair_mechanism,category,mechanisms_before,mechanisms_after,before_class,after_class,predicted_before_class,predicted_after_class,independent_after_case_id,independent_after_class,class_changed,expected_class_change,change_pattern_match,model_match
ND2-12-UNKNOWN_TYPE+WRONG_TARGET__FIX__UNKNOWN_TYPE,ND2-12-UNKNOWN_TYPE+WRONG_TARGET,UNKNOWN_TYPE,inert_mechanism_repair,UNKNOWN_TYPE+WRONG_TARGET,WRONG_TARGET,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,ND2-05-WRONG_TARGET,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,False,False,True,True
ND2-12-UNKNOWN_TYPE+WRONG_TARGET__FIX__WRONG_TARGET,ND2-12-UNKNOWN_TYPE+WRONG_TARGET,WRONG_TARGET,visible_blocker_repair,UNKNOWN_TYPE+WRONG_TARGET,UNKNOWN_TYPE,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MATCH,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_TARGET_MATCH,ND2-02-UNKNOWN_TYPE,TOOLCHAIN_ACCEPT_TARGET_MATCH,True,True,True,True
ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__PROHIBITED_PLACEHOLDER,ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER,masked_later_repair,PROHIBITED_PLACEHOLDER+INVALID_PROOF,INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-04-INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,False,False,True,True
ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__INVALID_PROOF,ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF,INVALID_PROOF,visible_blocker_repair,PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ND2-03-PROHIBITED_PLACEHOLDER,TOOLCHAIN_ACCEPT_POLICY_REJECT,True,True,True,True
ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET__FIX__PROHIBITED_PLACEHOLDER,ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET,PROHIBITED_PLACEHOLDER,visible_blocker_repair,PROHIBITED_PLACEHOLDER+WRONG_TARGET,WRONG_TARGET,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,ND2-05-WRONG_TARGET,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,True,True,True,True
ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET__FIX__WRONG_TARGET,ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET,WRONG_TARGET,masked_later_repair,PROHIBITED_PLACEHOLDER+WRONG_TARGET,PROHIBITED_PLACEHOLDER,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ND2-03-PROHIBITED_PLACEHOLDER,TOOLCHAIN_ACCEPT_POLICY_REJECT,False,False,True,True
ND2-15-INVALID_PROOF+WRONG_TARGET__FIX__INVALID_PROOF,ND2-15-INVALID_PROOF+WRONG_TARGET,INVALID_PROOF,visible_blocker_repair,INVALID_PROOF+WRONG_TARGET,WRONG_TARGET,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,ND2-05-WRONG_TARGET,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,True,True,True,True
ND2-15-INVALID_PROOF+WRONG_TARGET__FIX__WRONG_TARGET,ND2-15-INVALID_PROOF+WRONG_TARGET,WRONG_TARGET,masked_later_repair,INVALID_PROOF+WRONG_TARGET,INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-04-INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,False,False,True,True
ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER__FIX__SOURCE_CORRUPTION,ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ND2-10-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,TOOLCHAIN_ACCEPT_POLICY_REJECT,True,True,True,True
ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER__FIX__UNKNOWN_TYPE,ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,UNKNOWN_TYPE,inert_mechanism_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-07-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,False,False,True,True
ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER__FIX__PROHIBITED_PLACEHOLDER,ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,PROHIBITED_PLACEHOLDER,masked_later_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-06-SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,False,False,True,True
ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF__FIX__SOURCE_CORRUPTION,ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,UNKNOWN_TYPE+INVALID_PROOF,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-11-UNKNOWN_TYPE+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,True,True,True,True
ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF__FIX__UNKNOWN_TYPE,ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,UNKNOWN_TYPE,inert_mechanism_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-08-SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,False,False,True,True
ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF__FIX__INVALID_PROOF,ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,INVALID_PROOF,masked_later_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-06-SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,False,False,True,True
ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET__FIX__SOURCE_CORRUPTION,ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,UNKNOWN_TYPE+WRONG_TARGET,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,ND2-12-UNKNOWN_TYPE+WRONG_TARGET,TOOLCHAIN_ACCEPT_TARGET_MISMATCH,True,True,True,True
ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET__FIX__UNKNOWN_TYPE,ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,UNKNOWN_TYPE,inert_mechanism_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-09-SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,False,False,True,True
ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET__FIX__WRONG_TARGET,ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,WRONG_TARGET,masked_later_repair,SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-06-SOURCE_CORRUPTION+UNKNOWN_TYPE,FRONTEND_REJECT,False,False,True,True
ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__SOURCE_CORRUPTION,ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER+INVALID_PROOF,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,True,True,True,True
ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__PROHIBITED_PLACEHOLDER,ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER,masked_later_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-08-SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,False,False,True,True
ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__INVALID_PROOF,ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,INVALID_PROOF,masked_later_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-07-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,False,False,True,True
ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET__FIX__SOURCE_CORRUPTION,ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,PROHIBITED_PLACEHOLDER+WRONG_TARGET,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,FRONTEND_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ND2-14-PROHIBITED_PLACEHOLDER+WRONG_TARGET,TOOLCHAIN_ACCEPT_POLICY_REJECT,True,True,True,True
ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET__FIX__PROHIBITED_PLACEHOLDER,ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,PROHIBITED_PLACEHOLDER,masked_later_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-09-SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,False,False,True,True
ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET__FIX__WRONG_TARGET,ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,WRONG_TARGET,masked_later_repair,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-07-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER,FRONTEND_REJECT,False,False,True,True
ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET__FIX__SOURCE_CORRUPTION,ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,SOURCE_CORRUPTION,visible_blocker_repair,SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,INVALID_PROOF+WRONG_TARGET,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,FRONTEND_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-15-INVALID_PROOF+WRONG_TARGET,ENVIRONMENT_OR_ELAB_REJECT,True,True,True,True
ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET__FIX__INVALID_PROOF,ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,INVALID_PROOF,masked_later_repair,SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-09-SOURCE_CORRUPTION+WRONG_TARGET,FRONTEND_REJECT,False,False,True,True
ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET__FIX__WRONG_TARGET,ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,WRONG_TARGET,masked_later_repair,SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,FRONTEND_REJECT,ND2-08-SOURCE_CORRUPTION+INVALID_PROOF,FRONTEND_REJECT,False,False,True,True
ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__UNKNOWN_TYPE,ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,UNKNOWN_TYPE,inert_mechanism_repair,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-13-PROHIBITED_PLACEHOLDER+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,False,False,True,True
ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__PROHIBITED_PLACEHOLDER,ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,PROHIBITED_PLACEHOLDER,masked_later_repair,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,UNKNOWN_TYPE+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,ND2-11-UNKNOWN_TYPE+INVALID_PROOF,ENVIRONMENT_OR_ELAB_REJECT,False,False,True,True
ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF__FIX__INVALID_PROOF,ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,INVALID_PROOF,visible_blocker_repair,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ENVIRONMENT_OR_ELAB_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,ND2-10-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,TOOLCHAIN_ACCEPT_POLICY_REJECT,True,True,True,True
