case_id,role,mechanisms,n_mechanisms,observed_class,predicted_class,model_match
ND2-15-INVALID_PROOF+WRONG_TARGET,compound_fault,INVALID_PROOF+WRONG_TARGET,2,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-16-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-17-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-18-SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+WRONG_TARGET,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-19-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,compound_fault,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-20-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+WRONG_TARGET,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-21-SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+INVALID_PROOF+WRONG_TARGET,3,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-22-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,compound_fault,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,3,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-23-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+WRONG_TARGET,compound_fault,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+WRONG_TARGET,3,TOOLCHAIN_ACCEPT_POLICY_REJECT,TOOLCHAIN_ACCEPT_POLICY_REJECT,True
ND2-24-UNKNOWN_TYPE+INVALID_PROOF+WRONG_TARGET,compound_fault,UNKNOWN_TYPE+INVALID_PROOF+WRONG_TARGET,3,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-25-PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,compound_fault,PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,3,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-26-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF,4,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-27-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+WRONG_TARGET,4,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-28-SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+INVALID_PROOF+WRONG_TARGET,4,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-29-SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,4,FRONTEND_REJECT,FRONTEND_REJECT,True
ND2-30-UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,compound_fault,UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,4,ENVIRONMENT_OR_ELAB_REJECT,ENVIRONMENT_OR_ELAB_REJECT,True
ND2-31-SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,compound_fault,SOURCE_CORRUPTION+UNKNOWN_TYPE+PROHIBITED_PLACEHOLDER+INVALID_PROOF+WRONG_TARGET,5,FRONTEND_REJECT,FRONTEND_REJECT,True
